index,Title,Director,Cast,genres,combo
0,graduate,prasad rayala,akshay rithika sood tashu kaushik,Comedy Drama,graduate prasad rayala akshay rithika sood tashu kaushik Comedy Drama
1,parama veera chakra,dasari narayana rao,nandamuri balakrishna sheela amisha patel neha dhupia,un_known,parama veera chakra dasari narayana rao nandamuri balakrishna sheela amisha patel neha dhupia un_known
2,mirapakay,harish shankar,ravi teja richa gangopadhyay deeksha seth,Action Comedy,mirapakay harish shankar ravi teja richa gangopadhyay deeksha seth Action Comedy
3,anaganaga o dheerudu,prakash kovelamudi,siddharth shruti haasan lakshmi manchu,Adventure Fantasy Action Family,anaganaga o dheerudu prakash kovelamudi siddharth shruti haasan lakshmi manchu Adventure Fantasy Action Family
4,golconda high school,mohan krishna indraganti,sumanth swati reddy,un_known,golconda high school mohan krishna indraganti sumanth swati reddy un_known
5,ala modalaindi,nandini reddy,nani nithya menen,Romance Drama,ala modalaindi nandini reddy nani nithya menen Romance Drama
6,wanted,bvs ravi,gopichand deeksha seth prakash raj nassar jayasudha,Drama Thriller,wanted bvs ravi gopichand deeksha seth prakash raj nassar jayasudha Drama Thriller
7,vaareva,kalyan mantena,vassudev reddy shambhavi,un_known,vaareva kalyan mantena vassudev reddy shambhavi un_known
8,rakshana,venu pal,rajiv kanakala karan parineeta,Action Romance,rakshana venu pal rajiv kanakala karan parineeta Action Romance
9,jai bolo telangana,n.shankar,jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao,un_known,jai bolo telangana n.shankar jagapati babu sandeep meera nandan smriti irani k. chandrashekar rao un_known
10,koffee bar,geetha krishna,shashank bianca desai,un_known,koffee bar geetha krishna shashank bianca desai un_known
11,gaganam,radha mohan,akkineni nagarjuna poonam kaur prakash raj sana khan,Action Drama Thriller,gaganam radha mohan akkineni nagarjuna poonam kaur prakash raj sana khan Action Drama Thriller
12,vastadu naa raju,hemant madhukar,vishnu manchu taapsee pannu prakash raj,Comedy,vastadu naa raju hemant madhukar vishnu manchu taapsee pannu prakash raj Comedy
13,katha screenplay darsakatvam appalaraju,ram gopal varma,sunil swati reddy brahmanandam sakshi gulati,Drama,katha screenplay darsakatvam appalaraju ram gopal varma sunil swati reddy brahmanandam sakshi gulati Drama
14,aha naa pellanta!,veera brahmam,allari naresh ritu barmecha,un_known,aha naa pellanta! veera brahmam allari naresh ritu barmecha un_known
15,lbw life before wedding,praveen sattaru,abhijith pundla asif raj chinmayi ghatrazu nishanthi evani,Romance Comedy,lbw life before wedding praveen sattaru abhijith pundla asif raj chinmayi ghatrazu nishanthi evani Romance Comedy
16,kudirithe kappu coffee,ramana salva,varun sandesh suma bhattacharya,un_known,kudirithe kappu coffee ramana salva varun sandesh suma bhattacharya un_known
17,prema kavali,vijaya bhaskar. k,aadi sindhu tolani isha chawla,un_known,prema kavali vijaya bhaskar. k aadi sindhu tolani isha chawla un_known
18,bhale mogudu bhale pellam,dinesh baboo,rajendra prasad suhasini kaveri jha,un_known,bhale mogudu bhale pellam dinesh baboo rajendra prasad suhasini kaveri jha un_known
19,mangala,osho thulasi ram,charmy kaur pradeep rawat subhash,un_known,mangala osho thulasi ram charmy kaur pradeep rawat subhash un_known
20,thimmaraju,vemagiri,ali deepthi,un_known,thimmaraju vemagiri ali deepthi un_known
21,nitya pellikoduku,alahari,posani krishna murali apoorva gowri pandit,un_known,nitya pellikoduku alahari posani krishna murali apoorva gowri pandit un_known
22,dongala mutha,ram gopal varma puri jagannadh,ravi teja charmy kaur prakash raj lakshmi manchu sunil,Thriller Crime Action,dongala mutha ram gopal varma puri jagannadh ravi teja charmy kaur prakash raj lakshmi manchu sunil Thriller Crime Action
23,raaj,v. n. aditya,sumanth priyamani vimala raman,Drama,raaj v. n. aditya sumanth priyamani vimala raman Drama
24,karalu miriyalu,pasupuleti venkata rama rao,navakesh madhu shalini,un_known,karalu miriyalu pasupuleti venkata rama rao navakesh madhu shalini un_known
25,chattam,arun prasad p. a.,jagapathi babu vimala raman ashish vidyarthi,Crime,chattam arun prasad p. a. jagapathi babu vimala raman ashish vidyarthi Crime
