Title,Director,Cast,genres,combo
un_known,un_known,un_known,un_known,un_known un_known un_known un_known
chitram bhalare vichitram,bhanu prakash balusu,chandini tamilarasan sowmya subhasree jeeva surya venugopal rao prabhas sreenu allari subhashini,un_known,chitram bhalare vichitram bhanu prakash balusu chandini tamilarasan sowmya subhasree jeeva surya venugopal rao prabhas sreenu allari subhashini un_known
abbayitho ammayi,ramesh varma,naga shourya palak lalwani rao ramesh brahmanandam mohan,Drama Romance,abbayitho ammayi ramesh varma naga shourya palak lalwani rao ramesh brahmanandam mohan Drama Romance
nenu.. sailaja...,kishore tirumala,ram pothineni keerthy suresh sathyaraj pradeep rawat prince cecil rohini,Comedy Romance,nenu.. sailaja... kishore tirumala ram pothineni keerthy suresh sathyaraj pradeep rawat prince cecil rohini Comedy Romance
nannaku prematho,sukumar,jr ntr rakul preet jagapathi babu rajendra prasad,Action,nannaku prematho sukumar jr ntr rakul preet jagapathi babu rajendra prasad Action
express raja,merlapaka gandhi,sharwanand surabhi harish uthaman,Comedy Drama Romance,express raja merlapaka gandhi sharwanand surabhi harish uthaman Comedy Drama Romance
dictator,sriwass,nandamuri balakrishna anjali sonal chauhan,Comedy,dictator sriwass nandamuri balakrishna anjali sonal chauhan Comedy
soggade chinni nayana,kalyan krishna,nagarjuna ramya krishnan lavanya tripathi nassar sampath raj brahmanandam,Drama Family Fantasy,soggade chinni nayana kalyan krishna nagarjuna ramya krishnan lavanya tripathi nassar sampath raj brahmanandam Drama Family Fantasy
lacchimdeviki o lekkundi,jagadish talasila,lavanya tripathi naveen chandra,Comedy Thriller,lacchimdeviki o lekkundi jagadish talasila lavanya tripathi naveen chandra Comedy Thriller
seethamma andalu ramayya sitralu,gavireddy srinivas reddy,raj tarun arthana aadarsh raja ravindra,un_known,seethamma andalu ramayya sitralu gavireddy srinivas reddy raj tarun arthana aadarsh raja ravindra un_known
lajja,narasimha nandi,madhumitha varun shiva,Drama,lajja narasimha nandi madhumitha varun shiva Drama
speedunnodu,bhimaneni srinivasa rao,bellamkonda sreenivas sonarika bhadoria,Romance Action Comedy,speedunnodu bhimaneni srinivasa rao bellamkonda sreenivas sonarika bhadoria Romance Action Comedy
vennello hai hai,vamsy,ajmal nikitha narayan,un_known,vennello hai hai vamsy ajmal nikitha narayan un_known
krishna gaadi veera prema gaadha,hanu raghavapudi,nani mehreen pirzada sampath raj murali sharma harish uthaman,Romance Comedy Action,krishna gaadi veera prema gaadha hanu raghavapudi nani mehreen pirzada sampath raj murali sharma harish uthaman Romance Comedy Action
garam,madan,aadi adah sharma brahmanandam,Comedy,garam madan aadi adah sharma brahmanandam Comedy
krishnashtami,vasu varma,sunil nikki galrani dimple chopade,Romance Action Drama,krishnashtami vasu varma sunil nikki galrani dimple chopade Romance Action Drama
malupu,sathya prabhas pinisetty,aadhi nikki galrani mithun chakraborty richa pallod pasupathy,Romance Action,malupu sathya prabhas pinisetty aadhi nikki galrani mithun chakraborty richa pallod pasupathy Romance Action
kshanam,ravikanth,adivi sesh adah sharma anasuya,un_known,kshanam ravikanth adivi sesh adah sharma anasuya un_known
eluka majaka,relangi narasimha rao,vennela kishore brahmanandam pavani,Comedy,eluka majaka relangi narasimha rao vennela kishore brahmanandam pavani Comedy
padesave,chuniya,karthik raju nithya shetty sam,un_known,padesave chuniya karthik raju nithya shetty sam un_known
terror,sathish kasetty,srikanth nikhita thukral prudhvi nassar,Horror,terror sathish kasetty srikanth nikhita thukral prudhvi nassar Horror
veeri veeri gu,m v sagar,rudra venne raghu babu,un_known,veeri veeri gu m v sagar rudra venne raghu babu un_known
guntur talkies,praveen sattaru,siddu jonnalagadda rashmi gautham shraddha das,Romance Comedy Crime,guntur talkies praveen sattaru siddu jonnalagadda rashmi gautham shraddha das Romance Comedy Crime
kalyana vaibhogame,nandini reddy,naga shourya malavika nair raasi,Comedy Drama,kalyana vaibhogame nandini reddy naga shourya malavika nair raasi Comedy Drama
shourya,k. dasaradh,manoj manchu regina cassandra prakash raj,Thriller Romance,shourya k. dasaradh manoj manchu regina cassandra prakash raj Thriller Romance
tuntari,kumar nagendra,nara rohit latha hegde kabir duhan singh,un_known,tuntari kumar nagendra nara rohit latha hegde kabir duhan singh un_known
tulasi dalam,r. p. patnaik,nischal vandana gupta r. p. patnaik,un_known,tulasi dalam r. p. patnaik nischal vandana gupta r. p. patnaik un_known
o sthree repu raa,t. ashok kumar reddy,ashish gandhi diksha panth shruthi mol,un_known,o sthree repu raa t. ashok kumar reddy ashish gandhi diksha panth shruthi mol un_known
nenu maa college,s. s. dhakar,manoj nandan sisha srihari,un_known,nenu maa college s. s. dhakar manoj nandan sisha srihari un_known
drishya kavyam,bella ramakrishna reddy,ram karthik kashmira kulkarni,un_known,drishya kavyam bella ramakrishna reddy ram karthik kashmira kulkarni un_known
seesa,mohamad issack,sivaji chaswa namratha,Romance,seesa mohamad issack sivaji chaswa namratha Romance
dandakaranyam,r. narayana murthy,r. narayana murthy gaddar,un_known,dandakaranyam r. narayana murthy r. narayana murthy gaddar un_known
romance with finance,rajju kumpatla,merina abraham satish babu,un_known,romance with finance rajju kumpatla merina abraham satish babu un_known
run,anil kanneganti,sundeep kishan anisha ambrose bobby simha,Thriller Horror Drama,run anil kanneganti sundeep kishan anisha ambrose bobby simha Thriller Horror Drama
