Title,Director,Cast,genres,combo
beautiful,agasthya manju,Parth Suri Naina Ganguly,Drama,beautiful agasthya manju Parth Suri Naina Ganguly Drama
oollalla oollalla,satya prakash,Nataraj Noorin Shereef Ankeeta R Maharanaa,un_known,oollalla oollalla satya prakash Nataraj Noorin Shereef Ankeeta R Maharanaa un_known
utthara,sr thirupathi,Sreeram Karronya Katrynn Ajay Ghosh,un_known,utthara sr thirupathi Sreeram Karronya Katrynn Ajay Ghosh un_known
wifei,gssp kalyan,Abhishek Reddy Sakshi Sidiya Kavya,Comedy,wifei gssp kalyan Abhishek Reddy Sakshi Sidiya Kavya Comedy
sarileru neekevvaru,anil ravipudi,Mahesh Babu Rashmika Mandanna Vijayashanti Prakash Raj Rajendra Prasad Rao Ramesh Posani Krishna Murali Brahmaji Tanikella Bharani Vennela Kishore,Action,sarileru neekevvaru anil ravipudi Mahesh Babu Rashmika Mandanna Vijayashanti Prakash Raj Rajendra Prasad Rao Ramesh Posani Krishna Murali Brahmaji Tanikella Bharani Vennela Kishore Action
ala vaikunthapurramloo,trivikram srinivas,Allu Arjun Pooja Hegde Tabu Jayaram Sushanth Navdeep Nivetha Pethuraj Samuthirakani Murali Sharma Rajendra Prasad,Action Drama,ala vaikunthapurramloo trivikram srinivas Allu Arjun Pooja Hegde Tabu Jayaram Sushanth Navdeep Nivetha Pethuraj Samuthirakani Murali Sharma Rajendra Prasad Action Drama
entha manchivaadavuraa,satish vegesna,Kalyan Ram Mehreen Pirzada Naresh Sarath Babu Suhasini Maniratnam Vijayakumar Baladitya Vennela Kishore Rajeev Kanakala Pavitra Lokesh,Action Drama Romance,entha manchivaadavuraa satish vegesna Kalyan Ram Mehreen Pirzada Naresh Sarath Babu Suhasini Maniratnam Vijayakumar Baladitya Vennela Kishore Rajeev Kanakala Pavitra Lokesh Action Drama Romance
thagite thandana,srinath badineni,Adith Arun Sapthagiri Madhunandan Simran Gupta,un_known,thagite thandana srinath badineni Adith Arun Sapthagiri Madhunandan Simran Gupta un_known
disco raja,vi anand,Ravi Teja Payal Rajput Nabha Natesh Tanya Hope Bobby Simha Sunil Vennela Kishore Satya Ramki Naresh,Action Science Fiction Thriller,disco raja vi anand Ravi Teja Payal Rajput Nabha Natesh Tanya Hope Bobby Simha Sunil Vennela Kishore Satya Ramki Naresh Action Science Fiction Thriller
dubsmash,keshav depur,Pavan Krishna Supraja Getup Srinu,Drama Romance,dubsmash keshav depur Pavan Krishna Supraja Getup Srinu Drama Romance
aswathama,ramana teja,Naga Shaurya Mehreen Pirzada Jisshu Sengupta Harish Uthaman Sargun Kaur Luthra Prince Cecil Aadarsh Balakrishna Posani Krishna Murali,Action Crime Thriller,aswathama ramana teja Naga Shaurya Mehreen Pirzada Jisshu Sengupta Harish Uthaman Sargun Kaur Luthra Prince Cecil Aadarsh Balakrishna Posani Krishna Murali Action Crime Thriller
choosi choodangaane,sesha sindhu rao,Shiva Kandukuri Varsha Bollamma Malavika Satheesan Pavitra Lokesh Anish Kuruvilla Gururaj Manepalli Venkatesh Kakumanu Rajesh Khanna,Comedy Drama Romance,choosi choodangaane sesha sindhu rao Shiva Kandukuri Varsha Bollamma Malavika Satheesan Pavitra Lokesh Anish Kuruvilla Gururaj Manepalli Venkatesh Kakumanu Rajesh Khanna Comedy Drama Romance
jaanu,c. premkumar,Sharwanand Samantha Akkineni Sai Kiran Kumar Gouri G. Kishan Tanikella Bharani Vennela Kishore Raghu Babu Varsha Bollamma Saranya Pradeep,Comedy Horror,jaanu c. premkumar Sharwanand Samantha Akkineni Sai Kiran Kumar Gouri G. Kishan Tanikella Bharani Vennela Kishore Raghu Babu Varsha Bollamma Saranya Pradeep Comedy Horror
3 monkeys,anil kumar g,Sudigali Sudheer Getup Srinu Ram Prasad Karunya Chowdary Kautilya,Comedy Drama Romance,3 monkeys anil kumar g Sudigali Sudheer Getup Srinu Ram Prasad Karunya Chowdary Kautilya Comedy Drama Romance
savaari,saahith mothkuri,Nandu Priyanka Sharma Srikanth Reddy Ganta Shiva Kumar Maddy,Drama Romance,savaari saahith mothkuri Nandu Priyanka Sharma Srikanth Reddy Ganta Shiva Kumar Maddy Drama Romance
degree college,narasimha nandi,Varun Sri Divya Duvvasi Mohan Jayavani Srinivas Madan RK,Drama Romance Thriller,degree college narasimha nandi Varun Sri Divya Duvvasi Mohan Jayavani Srinivas Madan RK Drama Romance Thriller
neevalle nenunna,saibaba. m,Surya Sreenivas Sri Pallavi Sudharshan Ram Prasad Anish Kuruvilla,Drama Romance,neevalle nenunna saibaba. m Surya Sreenivas Sri Pallavi Sudharshan Ram Prasad Anish Kuruvilla Drama Romance
world famous lover,kranthi madhav,Vijay Deverakonda Raashi Khanna Catherine Tresa Aishwarya Rajesh Izabelle Leite,Romance Drama,world famous lover kranthi madhav Vijay Deverakonda Raashi Khanna Catherine Tresa Aishwarya Rajesh Izabelle Leite Romance Drama
oka chinna viramam,sundeep cheguri,Punarnavi Bhupalam Sanjay Varma Naveen Neni Garima Singh,Drama Thriller,oka chinna viramam sundeep cheguri Punarnavi Bhupalam Sanjay Varma Naveen Neni Garima Singh Drama Thriller
shiva 143,sagar sailesh,Sagar Sailesh Yeisha Adaraha Hrithika singh D.S.Rao,Drama Romance,shiva 143 sagar sailesh Sagar Sailesh Yeisha Adaraha Hrithika singh D.S.Rao Drama Romance
life anubavinchu raja,suresh thirumur,Raviteja Sravani Nikki Shruti Shetty,Drama Romance Comedy,life anubavinchu raja suresh thirumur Raviteja Sravani Nikki Shruti Shetty Drama Romance Comedy
bheeshma,venky kudumula,Nithin Rashmika Mandanna Anant Nag Jisshu Sengupta Vennela Kishore Sampath Raj Ajay Naresh Praveena Brahmaji,Romance Drama,bheeshma venky kudumula Nithin Rashmika Mandanna Anant Nag Jisshu Sengupta Vennela Kishore Sampath Raj Ajay Naresh Praveena Brahmaji Romance Drama
pressure cooker,sujoi & sushil,Sai Ronak Preethi Asrani Rahul Ramakrishna Rajai Rowan Tanikella Bharani Ravi Varma C.V.L. Narasimha Rao,Documentary,pressure cooker sujoi & sushil Sai Ronak Preethi Asrani Rahul Ramakrishna Rajai Rowan Tanikella Bharani Ravi Varma C.V.L. Narasimha Rao Documentary
valayam,ramesh kadumula,Laksh Chadalavada Digangana Suryavanshi,un_known,valayam ramesh kadumula Laksh Chadalavada Digangana Suryavanshi un_known
cheema prema madhyalo bhaama,srikanth 'sri' appalaraju,Amith Indhu Cherukuri,Drama Romance Fantasy Family,cheema prema madhyalo bhaama srikanth 'sri' appalaraju Amith Indhu Cherukuri Drama Romance Fantasy Family
raahu,subbu vedula,Kriti Garg AbeRaam Varma Chalaki Chanti kalikeya Prabhakar,Crime Drama Thriller,raahu subbu vedula Kriti Garg AbeRaam Varma Chalaki Chanti kalikeya Prabhakar Crime Drama Thriller
hit: the first case,dr sailesh kolanu,Vishwak Sen Ruhani Sharma Brahmaji Hari Teja Murli Sharma Bhanu Chander Ravi Varma,Action Drama Thriller,hit: the first case dr sailesh kolanu Vishwak Sen Ruhani Sharma Brahmaji Hari Teja Murli Sharma Bhanu Chander Ravi Varma Action Drama Thriller
swecha,kpn chawhan,Mangli Chammak Chandra,un_known,swecha kpn chawhan Mangli Chammak Chandra un_known
college kumar,hari santhosh,Rajendra Prasad Rahul Vijay Priya Vadlamani Madhubala Nassar Manobala,Comedy Drama,college kumar hari santhosh Rajendra Prasad Rahul Vijay Priya Vadlamani Madhubala Nassar Manobala Comedy Drama
palasa 1978,karuna kumar,Rakshit Nakshatra Raghu Kunche Thiruveer Laxman Meesala,Action Crime Drama,palasa 1978 karuna kumar Rakshit Nakshatra Raghu Kunche Thiruveer Laxman Meesala Action Crime Drama
o pitta katha,chandu muddu,Viswant Duddumpudi Sanjay Rao Nithya Shetty Brahmaji,Romance Thriller,o pitta katha chandu muddu Viswant Duddumpudi Sanjay Rao Nithya Shetty Brahmaji Romance Thriller
anukunnadi okkati ayyandhi okati,baalu adusumilli,Dhanya Balakrishna Komalee Prasad Siddhi Idnani Tridha Choudhury Raghu Babu Himaja Raghu Karumanchi Sameer Hasan,un_known,anukunnadi okkati ayyandhi okati baalu adusumilli Dhanya Balakrishna Komalee Prasad Siddhi Idnani Tridha Choudhury Raghu Babu Himaja Raghu Karumanchi Sameer Hasan un_known
screenplay of an indian love story,k l prasad,Pragathi Yadhati Vikram Shiva,Drama Romance,screenplay of an indian love story k l prasad Pragathi Yadhati Vikram Shiva Drama Romance
madha,srividya basawa,Trishna Mukherjee Venkat Rahul Anish Kuruvilla Bikramjeet Kanwarpal,Mystery Thriller,madha srividya basawa Trishna Mukherjee Venkat Rahul Anish Kuruvilla Bikramjeet Kanwarpal Mystery Thriller
arjuna,kanmani,Rajasekhar Maryam Zakaria,Romance Thriller,arjuna kanmani Rajasekhar Maryam Zakaria Romance Thriller
amrutharamam,surender kontadi,Amitha Ranganath Ram Mittakanti,un_known,amrutharamam surender kontadi Amitha Ranganath Ram Mittakanti un_known
run,lakshmikanth chenna,Navdeep Pujita Ponnada,Thriller Horror Drama,run lakshmikanth chenna Navdeep Pujita Ponnada Thriller Horror Drama
penguin,eashvar karthic,Keerthy Suresh Linga Madhampatty Rangaraj,Drama,penguin eashvar karthic Keerthy Suresh Linga Madhampatty Rangaraj Drama
krishna and his leela,ravikanth perepu,Siddu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti,un_known,krishna and his leela ravikanth perepu Siddu Jonnalagadda Shraddha Srinath Seerat Kapoor Shalini Vadnikatti un_known
47 days,pradeep maddali,Satyadev Kancharana Pooja Jhaveri,Action Drama Mystery Thriller,47 days pradeep maddali Satyadev Kancharana Pooja Jhaveri Action Drama Mystery Thriller
bhanumathi & ramakrishna,srikanth nagothi,Naveen Chandra Salony Luthra,Comedy Drama Romance,bhanumathi & ramakrishna srikanth nagothi Naveen Chandra Salony Luthra Comedy Drama Romance
uma maheswara ugra roopasya,venkatesh maha,Satyadev Kancharana Naresh Suhas Raghavan Hari Chandana Roopa Koduvayur Ravindra Vijay Jabardasth Ramprasad TNR,Comedy Drama,uma maheswara ugra roopasya venkatesh maha Satyadev Kancharana Naresh Suhas Raghavan Hari Chandana Roopa Koduvayur Ravindra Vijay Jabardasth Ramprasad TNR Comedy Drama
johaar,teja marni,Esther Anil Ankith Koyya Naina Ganguly Easwari Rao Subhalekha Sudhakar,Drama,johaar teja marni Esther Anil Ankith Koyya Naina Ganguly Easwari Rao Subhalekha Sudhakar Drama
buchinaidu khandriga,poluru krishna,Drishika Chander Ravi Varma,un_known,buchinaidu khandriga poluru krishna Drishika Chander Ravi Varma un_known
v,mohan krishna indraganti,Nani Sudheer Babu Nivetha Thomas Aditi Rao Hydari Vennela Kishore,Drama Action History,v mohan krishna indraganti Nani Sudheer Babu Nivetha Thomas Aditi Rao Hydari Vennela Kishore Drama Action History
amaram akhilam prema,edwards jonathan,Vijay Ram Shivshakti Sachdev,Drama Romance,amaram akhilam prema edwards jonathan Vijay Ram Shivshakti Sachdev Drama Romance
nishabdham,hemant madhukar,Anushka Shetty Madhavan Michael Madsen Anjali Subbaraju Shalini Pandey Srinivas Avasarala,Thriller Horror,nishabdham hemant madhukar Anushka Shetty Madhavan Michael Madsen Anjali Subbaraju Shalini Pandey Srinivas Avasarala Thriller Horror
orey bujjiga,vijay kumar konda,Raj Tarun Malavika Nair Hebah Patel,Drama Romance,orey bujjiga vijay kumar konda Raj Tarun Malavika Nair Hebah Patel Drama Romance
colour photo,sandeep raj,Suhas Chandini Chowdary Sunil,Drama Romance,colour photo sandeep raj Suhas Chandini Chowdary Sunil Drama Romance
miss india,narendra nath,,Family Comedy Drama,
gatham,kiran reddy,Bhargava Poludasu Rakesh Galebhe Poojitha Kuraparthi,Thriller,gatham kiran reddy Bhargava Poludasu Rakesh Galebhe Poojitha Kuraparthi Thriller
maa vintha gaadha vinuma,aditya mandala,Siddu Jonnalagadda Seerat Kapoor Tanikella Bharani,Comedy Romance,maa vintha gaadha vinuma aditya mandala Siddu Jonnalagadda Seerat Kapoor Tanikella Bharani Comedy Romance
anaganaga o athdhi,dayal padmanabhan,Chaitanya Krishna Payal Rajput,un_known,anaganaga o athdhi dayal padmanabhan Chaitanya Krishna Payal Rajput un_known
middle class melodies,vinod ananthoju,Anand Devarakonda Varsha Bollamma,Comedy Drama Romance,middle class melodies vinod ananthoju Anand Devarakonda Varsha Bollamma Comedy Drama Romance
meka suri 2,trinadh velisala,Abhinay Reddy Syed Sumaya Farahath,Crime Thriller,meka suri 2 trinadh velisala Abhinay Reddy Syed Sumaya Farahath Crime Thriller
bombhaat,raghavendra varma,Chandini Chowdary Sai Sushanth Reddy Simran Choudhary,Action Drama Science Fiction,bombhaat raghavendra varma Chandini Chowdary Sai Sushanth Reddy Simran Choudhary Action Drama Science Fiction
